,Subject_ID,Sex,ROI,Median
0,201515,0.0,1,-1.3911258065490983e-06
1,201515,0.0,2,4.4761418394045904e-07
2,201515,0.0,3,-7.196375918283593e-06
3,201515,0.0,4,-9.456966836296488e-06
4,201515,0.0,5,3.5806839377983124e-06
5,201515,0.0,6,3.1968183975550346e-05
6,201515,0.0,7,-2.8219119485584088e-06
7,201515,0.0,8,9.151659469353035e-06
8,201515,0.0,9,-7.103773214112152e-06
9,201515,0.0,10,-2.3748470994178206e-06
10,201515,0.0,11,-5.693691491615027e-06
11,201515,0.0,12,-4.11368864661199e-06
12,201515,0.0,13,6.063290129532106e-06
13,201515,0.0,14,1.2047519703628495e-05
14,201515,0.0,15,-1.1592230293899775e-05
15,201515,0.0,16,-1.0188899068452884e-05
16,201515,0.0,17,-7.11967732058838e-06
17,201515,0.0,18,-6.229741302377079e-06
18,201515,0.0,19,-1.1706923032761551e-05
19,201515,0.0,20,1.3449171092361212e-06
20,201515,0.0,21,1.910181936182198e-06
21,201515,0.0,22,-5.582211315413588e-06
22,201515,0.0,23,-2.338830199732911e-06
23,201515,0.0,24,6.48232798994286e-06
24,201515,0.0,25,-3.2478383218403906e-06
25,201515,0.0,26,-4.054264309161226e-06
26,201515,0.0,27,8.074181039319228e-07
27,201515,0.0,28,3.0005914595676586e-05
28,201515,0.0,29,-1.5400580650748452e-06
29,201515,0.0,30,-1.5312562027247623e-05
30,201515,0.0,31,1.65544479386881e-05
31,201515,0.0,32,-9.677308753452962e-06
32,201515,0.0,33,1.2884567695437e-05
33,201515,0.0,34,2.6206928851024713e-05
34,201515,0.0,35,1.7287564332946204e-05
35,201515,0.0,36,2.6739511667983606e-05
36,201515,0.0,37,2.261454937979579e-06
37,201515,0.0,38,-2.1213985746726394e-05
38,201515,0.0,39,1.0234609362669289e-05
39,201515,0.0,40,2.5256842491216958e-05
40,201515,0.0,41,4.32712840847671e-06
41,201515,0.0,42,-1.3245558420749148e-05
42,201515,0.0,43,-4.147283902966592e-06
43,201515,0.0,44,2.1913052478339523e-05
44,201515,0.0,45,-1.650326157687232e-05
45,201515,0.0,46,-4.331267700763419e-05
46,201515,0.0,47,-9.682860763859935e-06
47,201515,0.0,48,1.1420396276662359e-05
48,201515,0.0,49,-1.1127355037388043e-06
49,201515,0.0,50,2.793541625578655e-05
50,201515,0.0,51,2.836316753018764e-06
51,201515,0.0,52,5.790374331127168e-07
52,201515,0.0,53,-1.2128497246521874e-06
53,201515,0.0,54,-1.1188491498614894e-05
54,201515,0.0,55,2.013721314142458e-06
55,201515,0.0,56,2.8937295155628817e-06
56,201515,0.0,57,-2.695677441266753e-07
57,201515,0.0,58,4.43906264990801e-06
58,201515,0.0,59,1.2969505405635573e-05
59,201515,0.0,60,-9.171477358904667e-06
60,201515,0.0,61,1.6309359125443734e-06
61,201515,0.0,62,-3.256177114963066e-05
62,201515,0.0,63,-2.4319450631082873e-07
63,201515,0.0,64,5.532374871108914e-06
64,201515,0.0,65,-2.0760238044204016e-06
65,201515,0.0,66,1.724176392770005e-07
66,201515,0.0,67,-2.4024933509281254e-06
67,201515,0.0,68,5.706619958800729e-06
68,201515,0.0,69,-1.898865775729064e-05
69,201515,0.0,70,-1.0856022527150344e-05
70,201515,0.0,71,-1.2828401168007986e-06
71,201515,0.0,72,-1.1676796930260025e-05
72,201515,0.0,73,4.210546649119351e-06
